pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.012882	0.000000	1288154.069334	nan	nan
01_to_02	pair	0.413725	0.412737	1.002393	0.036769162863492966	0.05440215766429901
01_to_03	pair	1.215761	1.191885	1.020033	-0.16987454891204834	0.0972389206290245
01_to_04	pair	1.479548	1.453186	1.018141	-0.04977460950613022	0.12160903215408325
01_to_05	pair	1.607706	1.552099	1.035827	-0.10326633602380753	0.1441190540790558
01_to_06	pair	1.593727	1.503139	1.060266	-0.13786673545837402	0.17369574308395386
01_to_07	pair	1.432870	1.333044	1.074886	-0.2063639611005783	0.17262142896652222
01_to_08	pair	1.135116	1.065695	1.065142	-0.20342905819416046	0.1686999797821045
01_to_09	pair	0.753689	0.724359	1.040492	-0.09456601738929749	0.15556710958480835
01_to_10	pair	0.354787	0.355581	0.997766	0.0952436551451683	0.08895044028759003
02_to_01	pair	0.417434	0.404560	1.031823	-0.45660579204559326	0.07167838513851166
02_to_02	identity	0.010824	0.000000	1082410.570234	nan	nan
02_to_03	pair	0.518481	0.502816	1.031154	-0.022834068164229393	0.14245431125164032
02_to_04	pair	0.821390	0.795878	1.032055	0.02464238367974758	0.17327359318733215
02_to_05	pair	1.079369	1.031234	1.046677	-0.0309031642973423	0.19820471107959747
02_to_06	pair	1.174371	1.098740	1.068834	-0.06087801605463028	0.2254517674446106
02_to_07	pair	1.046621	1.018315	1.027796	0.02285785786807537	0.23721902072429657
02_to_08	pair	0.870225	0.899736	0.967200	0.2322293370962143	0.25013604760169983
02_to_09	pair	0.664280	0.704035	0.943533	0.3445802927017212	0.22264587879180908
02_to_10	pair	0.432190	0.437902	0.986955	0.1725694090127945	0.2038014680147171
03_to_01	pair	1.208205	1.185975	1.018744	-0.24370281398296356	0.08008584380149841
03_to_02	pair	0.505034	0.503510	1.003026	0.024259133264422417	0.08118677139282227
03_to_03	identity	0.013805	0.000000	1380540.709943	nan	nan
03_to_04	pair	0.284626	0.294523	0.966398	0.14018931984901428	0.2560807764530182
03_to_05	pair	0.508527	0.527409	0.964199	0.17521657049655914	0.3035801351070404
03_to_06	pair	0.613613	0.636062	0.964706	0.23241445422172546	0.3757420778274536
03_to_07	pair	0.653901	0.707535	0.924197	0.4244271516799927	0.3708984851837158
03_to_08	pair	0.704672	0.774707	0.909597	0.48763200640678406	0.2967762351036072
03_to_09	pair	0.868146	0.877174	0.989708	0.2911972999572754	0.21691222488880157
03_to_10	pair	1.128649	1.070336	1.054481	-0.138076514005661	0.1781231164932251
04_to_01	pair	1.475873	1.412139	1.045133	-0.2221193015575409	0.1407693773508072
04_to_02	pair	0.804504	0.786776	1.022533	0.051225122064352036	0.16241486370563507
04_to_03	pair	0.278313	0.286574	0.971172	0.21643821895122528	0.15357542037963867
04_to_04	identity	0.010373	0.000000	1037276.722491	nan	nan
04_to_05	pair	0.234495	0.251635	0.931883	0.28254014253616333	0.30974406003952026
04_to_06	pair	0.361777	0.385818	0.937689	0.3473183214664459	0.37643206119537354
04_to_07	pair	0.451551	0.517733	0.872171	0.5446179509162903	0.3674127757549286
04_to_08	pair	0.693937	0.713430	0.972677	0.34357962012290955	0.2741541266441345
04_to_09	pair	1.008262	0.940748	1.071766	-0.04798220470547676	0.24231253564357758
04_to_10	pair	1.327869	1.207316	1.099852	-0.30024269223213196	0.2262706458568573
05_to_01	pair	1.586881	1.479541	1.072549	-0.1547083705663681	0.19942909479141235
05_to_02	pair	1.113804	1.047866	1.062927	-0.07245734333992004	0.2147769182920456
05_to_03	pair	0.495644	0.513150	0.965885	0.21320733428001404	0.2442116141319275
05_to_04	pair	0.248290	0.255745	0.970849	0.24414463341236115	0.16522811353206635
05_to_05	identity	0.009836	0.000000	983630.213886	nan	nan
05_to_06	pair	0.167961	0.174867	0.960509	0.3308584690093994	0.2840816378593445
05_to_07	pair	0.343875	0.366271	0.938855	0.4402170479297638	0.28086674213409424
05_to_08	pair	0.664474	0.639597	1.038895	0.07364290207624435	0.251370370388031
05_to_09	pair	1.038450	0.926330	1.121037	-0.2799904942512512	0.26327231526374817
05_to_10	pair	1.404476	1.222690	1.148678	-0.3688826560974121	0.2788181006908417
06_to_01	pair	1.630185	1.447151	1.126479	-0.14888814091682434	0.26270824670791626
