pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.016701	0.000000	1670123.450458	nan	nan
01_to_02	pair	0.353842	0.383169	0.923463	0.39506617188453674	0.26471835374832153
01_to_03	pair	1.099462	1.230852	0.893253	0.4993020296096802	0.29406437277793884
01_to_04	pair	1.430115	1.645525	0.869093	0.5497027635574341	0.34162500500679016
01_to_05	pair	1.560250	1.797984	0.867777	0.548100471496582	0.3804112672805786
01_to_06	pair	1.538605	1.765300	0.871583	0.5318382382392883	0.4185734689235687
01_to_07	pair	1.217594	1.343949	0.905983	0.4607909619808197	0.4833424985408783
01_to_08	pair	0.789996	0.765092	1.032551	0.32336699962615967	0.6212694644927979
01_to_09	pair	0.478550	0.362947	1.318514	0.014074549078941345	0.8611507415771484
01_to_10	pair	0.280240	0.231239	1.211906	-0.3132030963897705	0.4217583239078522
02_to_01	pair	0.353462	0.373688	0.945876	0.3531859815120697	0.3059808909893036
02_to_02	identity	0.020846	0.000000	2084611.915052	nan	nan
02_to_03	pair	0.435318	0.507783	0.857292	0.5699927806854248	0.3950364291667938
02_to_04	pair	0.931040	1.104614	0.842864	0.5754922032356262	0.3828340768814087
02_to_05	pair	1.207738	1.398126	0.863826	0.5596530437469482	0.42118531465530396
02_to_06	pair	1.199691	1.355520	0.885041	0.5319911241531372	0.4843333661556244
02_to_07	pair	0.984479	1.008403	0.976276	0.36910825967788696	0.5731359124183655
02_to_08	pair	0.772469	0.607477	1.271601	-0.03027360886335373	0.7494392395019531
02_to_09	pair	0.671581	0.520649	1.289892	-0.24730142951011658	0.6219419240951538
02_to_10	pair	0.647332	0.629724	1.027961	0.09812531620264053	0.33131012320518494
03_to_01	pair	1.037000	1.171499	0.885190	0.5200389623641968	0.30411460995674133
03_to_02	pair	0.414554	0.479957	0.863731	0.5570981502532959	0.39312008023262024
03_to_03	identity	0.017626	0.000000	1762648.485601	nan	nan
03_to_04	pair	0.305267	0.357610	0.853630	0.5723121166229248	0.4505102336406708
03_to_05	pair	0.528703	0.589066	0.897528	0.5146138072013855	0.5344376564025879
03_to_06	pair	0.750432	0.752228	0.997612	0.3607443571090698	0.5795392990112305
03_to_07	pair	0.746079	0.627460	1.189046	0.13207606971263885	0.6734169721603394
03_to_08	pair	0.875759	0.892904	0.980799	0.2998625338077545	0.4266085624694824
03_to_09	pair	1.084360	1.161543	0.933551	0.3927099108695984	0.32579872012138367
03_to_10	pair	1.227456	1.366739	0.898091	0.5077757835388184	0.29639917612075806
04_to_01	pair	1.304589	1.540874	0.846655	0.5852776765823364	0.3863268196582794
04_to_02	pair	0.832316	1.014633	0.820313	0.6088060736656189	0.4204278290271759
04_to_03	pair	0.286416	0.344286	0.831913	0.592214047908783	0.49852287769317627
04_to_04	identity	0.016083	0.000000	1608283.631504	nan	nan
04_to_05	pair	0.245404	0.247435	0.991792	0.343260794878006	0.5480658411979675
04_to_06	pair	0.437236	0.386374	1.131637	0.1392587274312973	0.6763262748718262
04_to_07	pair	0.630431	0.609610	1.034155	0.1556435227394104	0.46879538893699646
04_to_08	pair	0.939961	1.075706	0.873809	0.5070451498031616	0.34046000242233276
04_to_09	pair	1.242383	1.437664	0.864168	0.5611464977264404	0.3240523338317871
04_to_10	pair	1.406855	1.658634	0.848201	0.5948317050933838	0.3555828034877777
05_to_01	pair	1.407546	1.686764	0.834465	0.5857797265052795	0.4514194130897522
05_to_02	pair	1.052193	1.266736	0.830633	0.5948663949966431	0.4894618093967438
05_to_03	pair	0.504175	0.565520	0.891524	0.517582893371582	0.6114451289176941
05_to_04	pair	0.235714	0.246878	0.954777	0.33909472823143005	0.5824019908905029
05_to_05	identity	0.012239	0.000000	1223879.773170	nan	nan
05_to_06	pair	0.271819	0.243390	1.116804	-0.0876329317688942	0.41088786721229553
05_to_07	pair	0.542559	0.600396	0.903668	0.4214363992214203	0.32085150480270386
05_to_08	pair	0.871577	1.071677	0.813283	0.6384924054145813	0.34238508343696594
05_to_09	pair	1.260268	1.524253	0.826810	0.6081277132034302	0.36706236004829407
05_to_10	pair	1.542488	1.862919	0.827995	0.6042651534080505	0.40103480219841003
06_to_01	pair	1.424352	1.694264	0.840690	0.5623027682304382	0.496163934469223
06_to_02	pair	1.069550	1.255286	0.852037	0.5625194311141968	0.5537930727005005
06_to_03	pair	0.700380	0.714043	0.980865	0.3782498836517334	0.6407553553581238
06_to_04	pair	0.433878	0.382374	1.134696	0.12582294642925262	0.7075021266937256
