pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.026504	0.000000	2650363.929570	nan	nan
01_to_02	pair	0.331822	0.326654	1.015824	0.2877242863178253	0.5108675360679626
01_to_03	pair	0.656887	0.676961	0.970347	0.5217097401618958	0.8306606411933899
01_to_04	pair	0.825203	0.894585	0.922443	0.6190418601036072	0.9675602316856384
01_to_05	pair	1.045388	1.201784	0.869864	0.6677716970443726	0.8487854599952698
01_to_06	pair	1.138381	1.387839	0.820255	0.6904848217964172	0.7796258330345154
01_to_07	pair	0.977916	1.127972	0.866969	0.6480034589767456	0.8021191954612732
01_to_08	pair	0.684708	0.859081	0.797024	0.6777032017707825	0.6018327474594116
01_to_09	pair	0.512046	0.611380	0.837525	0.6849129796028137	0.4193716049194336
01_to_10	pair	0.326558	0.343676	0.950191	0.5048868060112	0.16844268143177032
02_to_01	pair	0.331591	0.319704	1.037180	0.3176921606063843	0.6178163886070251
02_to_02	identity	0.031813	0.000000	3181280.195713	nan	nan
02_to_03	pair	0.270968	0.338032	0.801604	0.7098764181137085	0.8999392986297607
02_to_04	pair	0.498930	0.637639	0.782465	0.7286360859870911	0.9349721074104309
02_to_05	pair	0.768549	0.970341	0.792040	0.7163041830062866	0.7842151522636414
02_to_06	pair	0.860755	1.162847	0.740214	0.7449583411216736	0.7247828841209412
02_to_07	pair	0.727357	0.992118	0.733136	0.7109556794166565	0.6868593692779541
02_to_08	pair	0.572055	0.770588	0.742362	0.7172037959098816	0.46521565318107605
02_to_09	pair	0.549785	0.625526	0.878916	0.5324001908302307	0.2615666687488556
02_to_10	pair	0.453512	0.401621	1.129204	-0.2953852117061615	0.505273163318634
03_to_01	pair	0.624029	0.645767	0.966337	0.5857331156730652	0.9072902798652649
03_to_02	pair	0.277679	0.338703	0.819830	0.7258272767066956	0.9636354446411133
03_to_03	identity	0.022916	0.000000	2291647.344828	nan	nan
03_to_04	pair	0.207502	0.298417	0.695341	0.7594298124313354	0.815606951713562
03_to_05	pair	0.484475	0.629203	0.769983	0.7228213548660278	0.6259289979934692
03_to_06	pair	0.641359	0.854974	0.750150	0.7284384369850159	0.6000921726226807
03_to_07	pair	0.547592	0.731535	0.748551	0.679070770740509	0.5378673076629639
03_to_08	pair	0.533490	0.637704	0.836579	0.5655591487884521	0.36619818210601807
03_to_09	pair	0.562365	0.516075	1.089696	0.04381100460886955	0.7222192883491516
03_to_10	pair	0.655763	0.523410	1.252866	0.19714494049549103	1.122552514076233
04_to_01	pair	0.767484	0.827395	0.927590	0.6604779958724976	1.0257138013839722
04_to_02	pair	0.464121	0.577734	0.803347	0.7605793476104736	1.0271779298782349
04_to_03	pair	0.213813	0.279927	0.763817	0.70711350440979	0.7650713324546814
04_to_04	identity	0.022852	0.000000	2285175.956786	nan	nan
04_to_05	pair	0.261606	0.348021	0.751695	0.7744513154029846	0.49216586351394653
04_to_06	pair	0.484072	0.627401	0.771552	0.713561475276947	0.4534839689731598
04_to_07	pair	0.473414	0.580611	0.815373	0.5950721502304077	0.4163578152656555
04_to_08	pair	0.529739	0.546896	0.968628	0.3586238622665405	0.5901982188224792
04_to_09	pair	0.656256	0.506958	1.294498	0.2503618597984314	1.142002820968628
04_to_10	pair	0.757598	0.593922	1.275585	0.4662192165851593	1.4064726829528809
05_to_01	pair	0.858400	1.076548	0.797363	0.769120991230011	0.9427451491355896
05_to_02	pair	0.678747	0.892070	0.760867	0.7644420266151428	0.8694584369659424
05_to_03	pair	0.443608	0.596326	0.743903	0.7434093356132507	0.6372626423835754
05_to_04	pair	0.268894	0.337035	0.797822	0.7571820020675659	0.4133245646953583
05_to_05	identity	0.020275	0.000000	2027535.438538	nan	nan
05_to_06	pair	0.197367	0.262211	0.752703	0.697596549987793	0.505098819732666
05_to_07	pair	0.333377	0.400074	0.833288	0.5865007042884827	0.4575950503349304
05_to_08	pair	0.509833	0.576863	0.883802	0.5711995363235474	0.7305316925048828
05_to_09	pair	0.716493	0.691442	1.036229	0.5493216514587402	1.0876027345657349
05_to_10	pair	0.907858	0.881321	1.030111	0.6175363063812256	1.1425083875656128
06_to_01	pair	0.892804	1.296750	0.688494	0.8273555636405945	0.8036617040634155
06_to_02	pair	0.757472	1.066434	0.710285	0.776316225528717	0.756786048412323
06_to_03	pair	0.598998	0.813302	0.736501	0.7350713610649109	0.5784660577774048
06_to_04	pair	0.479110	0.611303	0.783752	0.7196186184883118	0.4382053315639496
06_to_05	pair	0.214785	0.264295	0.812672	0.6601940393447876	0.37609317898750305
06_to_06	identity	0.024069	0.000000	2406927.384436	nan	nan
06_to_07	pair	0.265548	0.337161	0.787599	0.710344672203064	0.44038307666778564
06_to_08	pair	0.449700	0.591531	0.760230	0.7179194092750549	0.7500367164611816
06_to_09	pair	0.647024	0.735652	0.879524	0.6851873993873596	1.0224757194519043
06_to_10	pair	0.873791	0.957267	0.912798	0.6872068643569946	1.030080795288086
07_to_01	pair	0.818424	1.023236	0.799839	0.720864474773407	0.8874353170394897
07_to_02	pair	0.651717	0.915591	0.711799	0.7239915132522583	0.672019362449646
07_to_03	pair	0.560831	0.719027	0.779987	0.637893557548523	0.4763321280479431
07_to_04	pair	0.464289	0.567239	0.818508	0.5655911564826965	0.3950449526309967
07_to_05	pair	0.344952	0.412649	0.835945	0.5635274052619934	0.5620461702346802
07_to_06	pair	0.290054	0.356046	0.814654	0.6428431272506714	0.4984143078327179
07_to_07	identity	0.034065	0.000000	3406494.483352	nan	nan
07_to_08	pair	0.257250	0.321638	0.799813	0.6794968247413635	0.7563351392745972
07_to_09	pair	0.446237	0.454655	0.981485	0.6705228686332703	1.2063446044921875
07_to_10	pair	0.657739	0.658376	0.999033	0.6943406462669373	1.2008215188980103
08_to_01	pair	0.570940	0.798644	0.714887	0.7582292556762695	0.6654273867607117
08_to_02	pair	0.458762	0.677410	0.677229	0.7590779066085815	0.5465893149375916
08_to_03	pair	0.454878	0.566289	0.803261	0.4930349588394165	0.42884454131126404
08_to_04	pair	0.523642	0.547156	0.957025	0.30140796303749084	0.6311236023902893
08_to_05	pair	0.578740	0.624736	0.926374	0.496763676404953	0.7218566536903381
08_to_06	pair	0.508761	0.628526	0.809451	0.6648539304733276	0.7468963861465454
08_to_07	pair	0.310485	0.359721	0.863129	0.6200032234191895	0.8961459994316101
08_to_08	identity	0.019691	0.000000	1969086.192548	nan	nan
08_to_09	pair	0.283512	0.307789	0.921126	0.5205039978027344	0.8500034809112549
08_to_10	pair	0.456538	0.479025	0.953055	0.6160649061203003	0.9936866164207458
09_to_01	pair	0.470270	0.582528	0.807292	0.7168911695480347	0.48465314507484436
09_to_02	pair	0.492493	0.567422	0.867948	0.44351986050605774	0.3517642021179199
09_to_03	pair	0.538689	0.515163	1.045667	0.049772512167692184	0.7040274143218994
09_to_04	pair	0.667320	0.505332	1.320557	0.23230381309986115	1.2390388250350952
09_to_05	pair	0.786644	0.713303	1.102819	0.5338063836097717	1.1706279516220093
09_to_06	pair	0.745763	0.762595	0.977928	0.656770646572113	1.1591241359710693
09_to_07	pair	0.572970	0.450462	1.271960	0.6388066411018372	1.5733540058135986
09_to_08	pair	0.253555	0.259873	0.975687	0.5746868848800659	1.096439003944397
09_to_09	identity	0.017696	0.000000	1769584.789872	nan	nan
09_to_10	pair	0.255386	0.280902	0.909163	0.6007160544395447	0.845891535282135
10_to_01	pair	0.359404	0.366969	0.979384	0.35306161642074585	0.1640034019947052
10_to_02	pair	0.458472	0.407496	1.125094	-0.2993391156196594	0.4277876615524292
10_to_03	pair	0.604378	0.514517	1.174651	0.23936901986598969	1.0419890880584717
10_to_04	pair	0.808352	0.595319	1.357848	0.43585076928138733	1.5026352405548096
10_to_05	pair	1.032469	0.931372	1.108547	0.5778986811637878	1.188543438911438
10_to_06	pair	1.022381	1.024548	0.997885	0.6450743675231934	1.1066826581954956
10_to_07	pair	0.818114	0.687737	1.189573	0.6503942012786865	1.4079387187957764
10_to_08	pair	0.510356	0.487675	1.046509	0.5988369584083557	1.1400582790374756
10_to_09	pair	0.276273	0.302644	0.912865	0.6017950177192688	0.8528439998626709
10_to_10	identity	0.016131	0.000000	1613102.294505	nan	nan
