pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.059939	0.000000	5993907.898664	nan	nan
01_to_02	pair	0.668010	0.632013	1.056955	-0.20239922404289246	0.17287173867225647
01_to_03	pair	2.694829	2.324730	1.159201	-0.25657379627227783	0.3195558488368988
01_to_04	pair	4.690351	3.779693	1.240934	-0.3746596574783325	0.3834037482738495
01_to_05	pair	5.888215	4.623016	1.273674	-0.4315682351589203	0.3996252119541168
01_to_06	pair	6.430497	5.059271	1.271032	-0.4516485631465912	0.388873815536499
01_to_07	pair	6.613930	5.441695	1.215417	-0.4842601418495178	0.3097630739212036
01_to_08	pair	5.562284	4.982205	1.116430	-0.48116618394851685	0.1620585024356842
01_to_09	pair	3.188381	2.910389	1.095517	-0.47374245524406433	0.13529911637306213
01_to_10	pair	1.007168	0.946841	1.063713	-0.4463750720024109	0.10016980767250061
02_to_01	pair	0.659510	0.614563	1.073136	-0.1536463499069214	0.20540185272693634
02_to_02	identity	0.052066	0.000000	5206622.928381	nan	nan
02_to_03	pair	1.907798	1.703698	1.119798	-0.23160392045974731	0.24589082598686218
02_to_04	pair	3.756618	3.151161	1.192138	-0.3597431778907776	0.31554433703422546
02_to_05	pair	4.974210	4.020198	1.237305	-0.42923837900161743	0.35167065262794495
02_to_06	pair	5.520339	4.436685	1.244249	-0.44885140657424927	0.3562610447406769
02_to_07	pair	5.791441	4.861495	1.191288	-0.4929892122745514	0.2799467146396637
02_to_08	pair	4.896510	4.482432	1.092378	-0.4806634485721588	0.1391378939151764
02_to_09	pair	2.606124	2.444270	1.066218	-0.42264091968536377	0.11429546773433685
02_to_10	pair	0.809970	0.763443	1.060943	-0.0388912595808506	0.24304240942001343
03_to_01	pair	2.676383	2.288780	1.169350	-0.33517158031463623	0.3249025046825409
03_to_02	pair	1.884750	1.708846	1.102937	-0.26204532384872437	0.21278400719165802
03_to_03	identity	0.050560	0.000000	5055979.266763	nan	nan
03_to_04	pair	1.658532	1.481303	1.119644	-0.3391382098197937	0.17994436621665955
03_to_05	pair	2.854986	2.459621	1.160743	-0.4012683928012848	0.2339177131652832
03_to_06	pair	3.541923	3.000205	1.180560	-0.42888328433036804	0.2619969844818115
03_to_07	pair	3.938873	3.499619	1.125515	-0.4739401042461395	0.19598396122455597
03_to_08	pair	3.402575	3.217225	1.057612	-0.49795103073120117	0.09354320913553238
03_to_09	pair	1.678750	1.606933	1.044692	-0.02118329145014286	0.17899943888187408
03_to_10	pair	1.896925	1.681580	1.128061	-0.12913011014461517	0.3559063971042633
04_to_01	pair	3.638297	3.516136	1.034743	-0.07175157219171524	0.15330812335014343
04_to_02	pair	3.040323	2.997030	1.014446	0.00019377205171622336	0.10411375015974045
04_to_03	pair	1.459408	1.462615	0.997807	0.21154853701591492	0.06207383796572685
04_to_04	identity	0.033076	0.000000	3307617.455721	nan	nan
04_to_05	pair	1.017030	0.989668	1.027648	-0.24414998292922974	0.08155325055122375
04_to_06	pair	1.654396	1.581001	1.046423	-0.3323051631450653	0.1100364550948143
04_to_07	pair	2.197397	2.099566	1.046596	-0.4222627282142639	0.09703724831342697
04_to_08	pair	2.073618	1.997179	1.038274	-0.2902359366416931	0.09232539683580399
04_to_09	pair	1.680080	1.696288	0.990445	0.2195657640695572	0.1552063375711441
04_to_10	pair	2.863810	2.851138	1.004445	0.11847762763500214	0.14677375555038452
05_to_01	pair	4.702945	4.295712	1.094800	-0.2479679435491562	0.2288874387741089
05_to_02	pair	4.029966	3.789181	1.063545	-0.20710746943950653	0.1697089672088623
05_to_03	pair	2.536012	2.433356	1.042187	-0.11731941252946854	0.1123400330543518
05_to_04	pair	0.990046	0.969139	1.021573	-0.0755055695772171	0.10094796866178513
