pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.018239	0.000000	1823879.405856	nan	nan
01_to_02	pair	0.551108	0.383169	1.438290	0.4637540876865387	1.524606704711914
01_to_03	pair	1.300098	1.230852	1.056259	0.35972699522972107	0.7083606719970703
01_to_04	pair	1.698492	1.645525	1.032188	0.37649908661842346	0.6601584553718567
01_to_05	pair	1.800566	1.797984	1.001436	0.3945351541042328	0.5721149444580078
01_to_06	pair	1.603574	1.765300	0.908386	0.4855688810348511	0.4126392602920532
01_to_07	pair	1.421693	1.343949	1.057848	0.2117021232843399	0.5347751379013062
01_to_08	pair	0.828069	0.765092	1.082313	0.14885810017585754	0.5604966282844543
01_to_09	pair	0.362321	0.362947	0.998277	0.19003577530384064	0.046688441187143326
01_to_10	pair	0.230528	0.231239	0.996925	0.08671346306800842	0.09125826507806778
02_to_01	pair	0.486478	0.373688	1.301831	0.38267409801483154	1.248340129852295
02_to_02	identity	0.037694	0.000000	3769405.558705	nan	nan
02_to_03	pair	0.584481	0.507783	1.151046	0.5462712049484253	1.0857051610946655
02_to_04	pair	1.175801	1.104614	1.064445	0.4239059090614319	0.8290673494338989
02_to_05	pair	1.369991	1.398126	0.979877	0.41493645310401917	0.5831414461135864
02_to_06	pair	1.233656	1.355520	0.910098	0.44394296407699585	0.4695386290550232
02_to_07	pair	1.268023	1.008403	1.257457	0.1597130000591278	0.8039219379425049
02_to_08	pair	0.790822	0.607477	1.301812	-0.10458793491125107	0.6931995153427124
02_to_09	pair	0.529237	0.520649	1.016496	0.04223588854074478	0.2977127432823181
02_to_10	pair	0.610610	0.629724	0.969647	0.19792915880680084	0.23759783804416656
03_to_01	pair	1.333442	1.171499	1.138236	0.3856581449508667	0.9535433053970337
03_to_02	pair	0.499353	0.479957	1.040411	0.5142401456832886	0.8884159922599792
03_to_03	identity	0.101485	0.000000	10148472.338915	nan	nan
03_to_04	pair	0.370299	0.357610	1.035483	0.5172937512397766	0.9489930868148804
03_to_05	pair	0.554084	0.589066	0.940614	0.4900937080383301	0.6888640522956848
03_to_06	pair	0.831258	0.752228	1.105062	0.2319551408290863	0.648656964302063
03_to_07	pair	0.905207	0.627460	1.442652	-0.050406839698553085	0.8710493445396423
03_to_08	pair	0.888244	0.892904	0.994781	0.14964523911476135	0.2193865031003952
03_to_09	pair	1.149372	1.161543	0.989522	0.22790618240833282	0.30299830436706543
03_to_10	pair	1.333968	1.366739	0.976023	0.259278267621994	0.35987409949302673
04_to_01	pair	1.748127	1.540874	1.134504	0.41551652550697327	0.9997870922088623
04_to_02	pair	1.111000	1.014633	1.094977	0.4146905243396759	0.903929591178894
04_to_03	pair	0.313513	0.344286	0.910616	0.5566986799240112	0.7947798371315002
04_to_04	identity	0.069913	0.000000	6991302.222013	nan	nan
04_to_05	pair	0.310964	0.247435	1.256751	0.34815123677253723	1.1937192678451538
04_to_06	pair	0.550775	0.386374	1.425496	0.12007101625204086	1.141939640045166
04_to_07	pair	0.570047	0.609610	0.935101	0.40862518548965454	0.24179694056510925
04_to_08	pair	1.068679	1.075706	0.993468	0.3048533797264099	0.4134824872016907
04_to_09	pair	1.421156	1.437664	0.988517	0.3490240275859833	0.5056887865066528
04_to_10	pair	1.606992	1.658634	0.968865	0.3944326937198639	0.5209068655967712
05_to_01	pair	1.925724	1.686764	1.141667	0.4171185791492462	1.003059983253479
05_to_02	pair	1.345563	1.266736	1.062228	0.3597657382488251	0.7653091549873352
05_to_03	pair	0.656594	0.565520	1.161045	0.43266043066978455	1.0373696088790894
05_to_04	pair	0.310483	0.246878	1.257635	0.3319336771965027	1.1904064416885376
05_to_05	identity	0.107185	0.000000	10718517.750502	nan	nan
05_to_06	pair	0.366853	0.243390	1.507262	-0.2311486005783081	0.9646394848823547
05_to_07	pair	0.623029	0.600396	1.037698	0.24517878890037537	0.49896952509880066
05_to_08	pair	1.077281	1.071677	1.005229	0.4322693645954132	0.5921081304550171
05_to_09	pair	1.544731	1.524253	1.013434	0.40425342321395874	0.5973466038703918
05_to_10	pair	1.812326	1.862919	0.972842	0.39677169919013977	0.5238847136497498
06_to_01	pair	1.781162	1.694264	1.051289	0.37694185972213745	0.7600506544113159
06_to_02	pair	1.500664	1.255286	1.195476	0.27798640727996826	0.8493455052375793
06_to_03	pair	1.028695	0.714043	1.440662	0.08682754635810852	1.0093131065368652
06_to_04	pair	0.573844	0.382374	1.500741	-0.019712327048182487	1.0392569303512573
06_to_05	pair	0.322328	0.245322	1.313894	-0.041137225925922394	0.811271071434021
06_to_06	identity	0.024683	0.000000	2468337.677419	nan	nan
06_to_07	pair	0.441126	0.404705	1.089994	0.16992072761058807	0.5396226644515991
06_to_08	pair	0.898231	0.870913	1.031366	0.31498366594314575	0.5458841919898987
06_to_09	pair	1.441033	1.404932	1.025696	0.3497353196144104	0.5769263505935669
06_to_10	pair	1.942281	1.824787	1.064388	0.27694085240364075	0.6273213028907776
07_to_01	pair	1.582572	1.248031	1.268055	0.24175098538398743	0.9092365503311157
07_to_02	pair	1.270368	0.959571	1.323892	0.23713041841983795	0.94513338804245
07_to_03	pair	0.908911	0.622187	1.460832	-0.14190848171710968	0.7196285724639893
07_to_04	pair	0.674239	0.622187	1.083659	0.18209713697433472	0.6156334280967712
07_to_05	pair	0.630529	0.615050	1.025168	0.19069425761699677	0.4632323682308197
07_to_06	pair	0.419948	0.417106	1.006811	0.2709134519100189	0.4534088373184204
07_to_07	identity	0.059210	0.000000	5920991.674066	nan	nan
07_to_08	pair	0.600145	0.469165	1.279179	0.058217454701662064	0.6865251064300537
07_to_09	pair	1.103469	0.932549	1.183283	0.19378824532032013	0.696312665939331
07_to_10	pair	1.502968	1.393687	1.078411	0.1512967050075531	0.5687853693962097
08_to_01	pair	0.791337	0.755354	1.047637	0.19892513751983643	0.47697073221206665
08_to_02	pair	0.702269	0.589452	1.191393	0.05177323892712593	0.6524838209152222
08_to_03	pair	0.948447	0.907557	1.045055	0.20522357523441315	0.448801726102829
08_to_04	pair	0.996541	1.104625	0.902154	0.46103471517562866	0.268179327249527
08_to_05	pair	1.039451	1.128541	0.921057	0.4307668209075928	0.25312840938568115
08_to_06	pair	0.939033	0.956336	0.981906	0.26952922344207764	0.22818505764007568
08_to_07	pair	0.493983	0.484070	1.020479	0.19080094993114471	0.22927141189575195
08_to_08	identity	0.016677	0.000000	1667726.039886	nan	nan
08_to_09	pair	0.503658	0.406001	1.240535	0.1733277291059494	0.7793269157409668
08_to_10	pair	0.783754	0.751807	1.042494	0.17029939591884613	0.4547376334667206
09_to_01	pair	0.409505	0.368094	1.112500	0.045175403356552124	0.5903103947639465
09_to_02	pair	0.586402	0.551272	1.063727	0.00803424697369337	0.3958330452442169
09_to_03	pair	1.161339	1.201547	0.966537	0.2910933792591095	0.1838272660970688
09_to_04	pair	1.439247	1.508976	0.953790	0.3612801134586334	0.1980295330286026
09_to_05	pair	1.569227	1.626589	0.964735	0.33054134249687195	0.34326645731925964
09_to_06	pair	1.523882	1.508342	1.010303	0.20556212961673737	0.32401108741760254
09_to_07	pair	0.976491	0.992626	0.983745	0.3510722219944	0.3641691207885742
09_to_08	pair	0.431209	0.422591	1.020393	-0.08488287031650543	0.09960439801216125
09_to_09	identity	0.009185	0.000000	918452.069163	nan	nan
09_to_10	pair	0.387272	0.286272	1.352812	-0.25452688336372375	0.647905170917511
10_to_01	pair	0.257780	0.239771	1.075108	-0.013659498654305935	0.4622514843940735
10_to_02	pair	0.624735	0.646829	0.965842	0.3195576071739197	0.32051748037338257
10_to_03	pair	1.378192	1.420108	0.970484	0.3278041481971741	0.15474888682365417
10_to_04	pair	1.670952	1.766569	0.945874	0.3979122042655945	0.26447737216949463
10_to_05	pair	1.939620	2.010335	0.964824	0.3171820640563965	0.3600805401802063
10_to_06	pair	1.973537	1.947671	1.013280	0.1701941043138504	0.34741345047950745
10_to_07	pair	1.445156	1.505615	0.959844	0.339844286441803	0.3236338496208191
10_to_08	pair	0.774491	0.782096	0.990276	0.29650741815567017	0.3487456440925598
10_to_09	pair	0.297741	0.297518	1.000752	0.047424446791410446	0.027971964329481125
10_to_10	identity	0.001872	0.000000	187186.384574	nan	nan
