pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.004847	0.000000	484676.565975	nan	nan
01_to_02	pair	0.393499	0.447823	0.878693	0.5469114780426025	0.3678683042526245
01_to_03	pair	0.700591	0.829436	0.844659	0.5678326487541199	0.5402089357376099
01_to_04	pair	0.945760	1.134359	0.833740	0.5522894263267517	0.6689262986183167
01_to_05	pair	1.122383	1.376533	0.815369	0.6169342994689941	0.66966313123703
01_to_06	pair	1.170341	1.480060	0.790739	0.638992965221405	0.6873637437820435
01_to_07	pair	0.880211	1.025722	0.858139	0.6201564073562622	0.9402284026145935
01_to_08	pair	0.762730	0.578338	1.318831	0.3338872194290161	1.2241406440734863
01_to_09	pair	0.666654	0.449939	1.481655	-0.27440357208251953	0.8980881571769714
01_to_10	pair	0.402354	0.327701	1.227811	-0.42543283104896545	0.37809059023857117
02_to_01	pair	0.369511	0.431501	0.856339	0.6003393530845642	0.38140299916267395
02_to_02	identity	0.004461	0.000000	446105.143055	nan	nan
02_to_03	pair	0.321942	0.339877	0.947231	0.3808756470680237	0.8003712296485901
02_to_04	pair	0.640092	0.666204	0.960804	0.4438401162624359	0.824029266834259
02_to_05	pair	0.808343	0.961574	0.840646	0.5645545721054077	0.7628399729728699
02_to_06	pair	0.960686	1.120894	0.857071	0.5292478203773499	0.7342539429664612
02_to_07	pair	0.898249	0.893062	1.005808	0.40051138401031494	0.7968312501907349
02_to_08	pair	1.028605	0.817818	1.257743	-0.11059145629405975	0.6585409045219421
02_to_09	pair	1.091912	0.964438	1.132174	-0.32132837176322937	0.28551480174064636
02_to_10	pair	0.870358	0.864478	1.006802	0.13783839344978333	0.15798459947109222
03_to_01	pair	0.662203	0.767947	0.862303	0.5445485711097717	0.6602481007575989
03_to_02	pair	0.326201	0.335414	0.972533	0.32974663376808167	0.8141941428184509
03_to_03	identity	0.004592	0.000000	459157.070145	nan	nan
03_to_04	pair	0.271683	0.278028	0.977178	0.47638770937919617	0.9349048137664795
03_to_05	pair	0.536236	0.634077	0.845696	0.556948184967041	0.6309444904327393
03_to_06	pair	0.692616	0.843818	0.820812	0.5414726138114929	0.6208446621894836
03_to_07	pair	0.862608	0.892369	0.966650	0.39725837111473083	0.6187832355499268
03_to_08	pair	1.075631	1.030794	1.043497	0.16823513805866241	0.38404035568237305
03_to_09	pair	1.180734	1.225291	0.963635	0.31266820430755615	0.22476384043693542
03_to_10	pair	1.028505	1.136707	0.904811	0.4746542274951935	0.34140753746032715
04_to_01	pair	0.896372	1.034637	0.866363	0.5366345643997192	0.7432655692100525
04_to_02	pair	0.635723	0.631874	1.006092	0.3837619125843048	0.8625764846801758
04_to_03	pair	0.259180	0.269645	0.961190	0.45296457409858704	0.9159767627716064
04_to_04	identity	0.007293	0.000000	729342.317209	nan	nan
04_to_05	pair	0.313129	0.355905	0.879810	0.48486050963401794	0.4627709984779358
04_to_06	pair	0.484079	0.581101	0.833038	0.5411816835403442	0.538689136505127
04_to_07	pair	0.682524	0.710622	0.960461	0.3993251323699951	0.5064192414283752
04_to_08	pair	1.000879	1.039110	0.963207	0.36506831645965576	0.31250953674316406
04_to_09	pair	1.269091	1.421536	0.892761	0.5326617360115051	0.2833254933357239
04_to_10	pair	1.118122	1.331572	0.839700	0.5521891117095947	0.4794940948486328
05_to_01	pair	1.065391	1.297444	0.821146	0.5913903713226318	0.7035359144210815
05_to_02	pair	0.775459	0.901576	0.860115	0.5525792837142944	0.829066812992096
05_to_03	pair	0.492930	0.604926	0.814860	0.5847064256668091	0.6825473308563232
05_to_04	pair	0.283863	0.328734	0.863504	0.503557562828064	0.506243884563446
05_to_05	identity	0.009256	0.000000	925577.897578	nan	nan
05_to_06	pair	0.250390	0.280411	0.892943	0.41666698455810547	0.48143771290779114
05_to_07	pair	0.621767	0.665005	0.934981	0.4168267250061035	0.3719337284564972
05_to_08	pair	1.061176	1.163844	0.911785	0.5405969023704529	0.2903721034526825
05_to_09	pair	1.318326	1.540992	0.855504	0.5903362035751343	0.36572444438934326
05_to_10	pair	1.309790	1.628747	0.804171	0.6414352059364319	0.5033414959907532
06_to_01	pair	1.082429	1.360525	0.795597	0.6328480839729309	0.7282887697219849
06_to_02	pair	0.908424	1.048733	0.866211	0.5216628313064575	0.7792357206344604
06_to_03	pair	0.636924	0.797957	0.798193	0.5593653917312622	0.6452663540840149
06_to_04	pair	0.454945	0.560302	0.811965	0.5484503507614136	0.5259789228439331
06_to_05	pair	0.248163	0.280695	0.884102	0.3792901337146759	0.4153517484664917
06_to_06	identity	0.007642	0.000000	764238.135889	nan	nan
06_to_07	pair	0.461368	0.501644	0.919711	0.40714332461357117	0.3191942274570465
06_to_08	pair	0.919016	1.045940	0.878651	0.5757819414138794	0.34606727957725525
06_to_09	pair	1.184206	1.444469	0.819821	0.6483890414237976	0.4240807592868805
06_to_10	pair	1.296908	1.638795	0.791379	0.6690077185630798	0.5449205636978149
07_to_01	pair	0.856692	0.969443	0.883695	0.5834893584251404	0.930126428604126
07_to_02	pair	0.846227	0.890027	0.950787	0.4582226574420929	0.7257510423660278
07_to_03	pair	0.767829	0.869321	0.883251	0.504895806312561	0.5349692702293396
07_to_04	pair	0.640652	0.716917	0.893621	0.48503929376602173	0.45976078510284424
07_to_05	pair	0.602931	0.683762	0.881785	0.5016768574714661	0.3491773009300232
07_to_06	pair	0.485087	0.513857	0.944011	0.34155207872390747	0.14559350907802582
07_to_07	identity	0.006518	0.000000	651810.783893	nan	nan
07_to_08	pair	0.406507	0.476806	0.852561	0.6367781758308411	0.3883829712867737
07_to_09	pair	0.734817	0.928904	0.791058	0.7134377956390381	0.4677489101886749
07_to_10	pair	0.854819	1.136232	0.752328	0.7042813301086426	0.6527538895606995
08_to_01	pair	0.729467	0.566532	1.287602	0.3200381398200989	1.181410789489746
08_to_02	pair	1.049109	0.866454	1.210807	-0.14080847799777985	0.5216138362884521
08_to_03	pair	1.060673	1.080932	0.981258	0.2853449881076813	0.3176873028278351
08_to_04	pair	1.009701	1.083406	0.931970	0.4136147201061249	0.28853997588157654
08_to_05	pair	1.121072	1.243304	0.901688	0.5461123585700989	0.2650398313999176
08_to_06	pair	0.969682	1.107360	0.875670	0.5921498537063599	0.281697541475296
08_to_07	pair	0.436550	0.503450	0.867116	0.660696804523468	0.26631245017051697
08_to_08	identity	0.007098	0.000000	709820.026532	nan	nan
08_to_09	pair	0.309913	0.401934	0.771054	0.7036842703819275	0.5905869007110596
08_to_10	pair	0.525749	0.645302	0.814733	0.6764964461326599	0.8512951731681824
09_to_01	pair	0.640754	0.464037	1.380827	-0.2451440691947937	0.7238331437110901
09_to_02	pair	1.109769	1.021825	1.086066	-0.1705162525177002	0.2367834746837616
