pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.001441	0.000000	144084.077328	nan	nan
01_to_02	pair	0.258929	0.225848	1.146477	0.3093070387840271	0.9838688373565674
01_to_03	pair	0.597864	0.514921	1.161078	0.34187981486320496	1.1059783697128296
01_to_04	pair	0.827090	0.714543	1.157508	0.37678468227386475	1.1000311374664307
01_to_05	pair	0.852020	0.754408	1.129389	0.484430193901062	1.1974846124649048
01_to_06	pair	0.814565	0.742779	1.096645	0.5485918521881104	1.267220139503479
01_to_07	pair	0.760559	0.632931	1.201647	0.3430379629135132	1.168919563293457
01_to_08	pair	0.606530	0.524817	1.155698	0.3161159157752991	1.067310094833374
01_to_09	pair	0.449557	0.349547	1.286113	0.06076136231422424	0.8311901688575745
01_to_10	pair	0.175952	0.160100	1.099014	-0.001206904649734497	0.3655771315097809
02_to_01	pair	0.241894	0.228828	1.057097	0.31757816672325134	0.7969957590103149
02_to_02	identity	0.001290	0.000000	128974.579275	nan	nan
02_to_03	pair	0.204915	0.218714	0.936906	0.5989688038825989	1.0941286087036133
02_to_04	pair	0.480411	0.536150	0.896040	0.55060213804245	0.9524869322776794
02_to_05	pair	0.743764	0.805199	0.923702	0.49655547738075256	0.8605368733406067
02_to_06	pair	0.703439	0.688857	1.021168	0.4601224660873413	1.003456950187683
02_to_07	pair	0.645963	0.708678	0.911504	0.5031379461288452	0.8195928335189819
02_to_08	pair	0.521684	0.623101	0.837238	0.5036889910697937	0.5941620469093323
02_to_09	pair	0.544421	0.543702	1.001324	-0.005378772970288992	0.34357941150665283
02_to_10	pair	0.506264	0.501835	1.008827	0.09074186533689499	0.34190833568573
03_to_01	pair	0.576499	0.512375	1.125151	0.33585497736930847	1.020019769668579
03_to_02	pair	0.194850	0.214379	0.908905	0.6063777208328247	1.0550391674041748
03_to_03	identity	0.001324	0.000000	132377.597038	nan	nan
03_to_04	pair	0.199408	0.239987	0.830910	0.6189448237419128	0.8559165000915527
03_to_05	pair	0.455156	0.579169	0.785878	0.5713566541671753	0.5888674259185791
03_to_06	pair	0.647578	0.758821	0.853401	0.47496894001960754	0.582126259803772
03_to_07	pair	0.586502	0.640985	0.915001	0.45778822898864746	0.5980169177055359
03_to_08	pair	0.558865	0.687064	0.813410	0.5431119799613953	0.36708423495292664
03_to_09	pair	0.640258	0.685678	0.933760	0.32249799370765686	0.43780043721199036
03_to_10	pair	0.642644	0.540113	1.189832	0.21311494708061218	0.9674166440963745
04_to_01	pair	0.857724	0.780638	1.098747	0.33860233426094055	0.9124405980110168
04_to_02	pair	0.475940	0.532704	0.893442	0.5586273670196533	0.9158151745796204
04_to_03	pair	0.184204	0.237405	0.775906	0.643660843372345	0.7685523629188538
04_to_04	identity	0.001549	0.000000	154906.336684	nan	nan
04_to_05	pair	0.173567	0.221504	0.783585	0.6197959780693054	0.6540234684944153
04_to_06	pair	0.394369	0.469833	0.839381	0.49837830662727356	0.4742428660392761
04_to_07	pair	0.577976	0.704433	0.820483	0.6193158030509949	0.3440798819065094
04_to_08	pair	0.650126	0.747827	0.869355	0.5297176837921143	0.4141599237918854
04_to_09	pair	0.767669	0.735433	1.043834	0.3323097229003906	0.6871879696846008
04_to_10	pair	0.805095	0.672584	1.197018	0.32087454199790955	1.0539240837097168
05_to_01	pair	0.810718	0.749508	1.081667	0.4656175374984741	1.069733738899231
05_to_02	pair	0.733178	0.826431	0.887161	0.5285869240760803	0.823371946811676
05_to_03	pair	0.448765	0.588200	0.762946	0.5976977944374084	0.6588329076766968
05_to_04	pair	0.167614	0.225704	0.742629	0.6575033068656921	0.625454843044281
05_to_05	identity	0.001790	0.000000	179026.578553	nan	nan
05_to_06	pair	0.195597	0.218412	0.895539	0.4204164147377014	0.3817349374294281
05_to_07	pair	0.388625	0.474068	0.819767	0.5992489457130432	0.3939439654350281
05_to_08	pair	0.595743	0.664968	0.895898	0.4978500008583069	0.5833733677864075
05_to_09	pair	0.864461	0.808245	1.069553	0.36407387256622314	0.807915985584259
05_to_10	pair	0.916136	0.761150	1.203621	0.36549946665763855	1.106489896774292
06_to_01	pair	0.823842	0.769175	1.071073	0.5199669003486633	1.1467512845993042
06_to_02	pair	0.709854	0.695616	1.020468	0.5112361907958984	1.0300260782241821
06_to_03	pair	0.628562	0.751114	0.836839	0.5120248198509216	0.6058480739593506
06_to_04	pair	0.400349	0.481160	0.832050	0.5087436437606812	0.510618269443512
06_to_05	pair	0.192755	0.215365	0.895014	0.3760650157928467	0.4480554759502411
06_to_06	identity	0.002132	0.000000	213167.676702	nan	nan
06_to_07	pair	0.195299	0.226231	0.863272	0.5101591348648071	0.5359972715377808
06_to_08	pair	0.426994	0.412106	1.036126	0.4301568567752838	0.9643288850784302
06_to_09	pair	0.744440	0.615277	1.209926	0.3960880637168884	1.1356233358383179
06_to_10	pair	0.912464	0.721094	1.265389	0.38586878776550293	1.2359418869018555
07_to_01	pair	0.866507	0.630572	1.374161	0.2975141704082489	1.3558658361434937
07_to_02	pair	0.658558	0.723112	0.910726	0.5578020215034485	0.8854779601097107
07_to_03	pair	0.606404	0.658017	0.921562	0.46423646807670593	0.6434183120727539
07_to_04	pair	0.638982	0.734826	0.869569	0.5119209885597229	0.38667231798171997
07_to_05	pair	0.402604	0.482989	0.833568	0.5537154078483582	0.401841938495636
