pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.017230	0.000000	1722975.634038	nan	nan
01_to_02	pair	0.299543	0.342548	0.874455	0.5594540238380432	0.3178369402885437
01_to_03	pair	0.737263	0.872194	0.845297	0.6345798969268799	0.3719729483127594
01_to_04	pair	1.247665	1.491833	0.836330	0.6302587389945984	0.35835084319114685
01_to_05	pair	1.393798	1.764018	0.790127	0.7012614011764526	0.39520737528800964
01_to_06	pair	1.327834	1.788058	0.742612	0.7487607002258301	0.4356117248535156
01_to_07	pair	1.153838	1.575479	0.732373	0.7443554401397705	0.41487035155296326
01_to_08	pair	0.997177	1.281303	0.778253	0.7301527261734009	0.33957162499427795
01_to_09	pair	0.637949	0.827106	0.771303	0.7427994608879089	0.3541177213191986
01_to_10	pair	0.303252	0.361070	0.839872	0.6694567203521729	0.2585549056529999
02_to_01	pair	0.297641	0.338110	0.880307	0.556190550327301	0.4752529263496399
02_to_02	identity	0.011712	0.000000	1171157.229692	nan	nan
02_to_03	pair	0.388124	0.455671	0.851764	0.629871666431427	0.37308618426322937
02_to_04	pair	0.812305	0.968925	0.838357	0.6372663378715515	0.3884657919406891
02_to_05	pair	1.251668	1.556096	0.804364	0.6765469908714294	0.35543641448020935
02_to_06	pair	1.176828	1.610087	0.730909	0.7614670395851135	0.4301884174346924
02_to_07	pair	1.169242	1.526163	0.766132	0.7258628606796265	0.3629445731639862
02_to_08	pair	0.986441	1.260709	0.782450	0.7221626043319702	0.3249579071998596
02_to_09	pair	0.751218	0.869857	0.863611	0.64947909116745	0.2375733107328415
02_to_10	pair	0.461795	0.468105	0.986522	0.2400323748588562	0.30324411392211914
03_to_01	pair	0.708164	0.844942	0.838122	0.6749101281166077	0.5027924180030823
03_to_02	pair	0.406349	0.453212	0.896598	0.5629966259002686	0.43558269739151
03_to_03	identity	0.014917	0.000000	1491683.255881	nan	nan
03_to_04	pair	0.354412	0.429703	0.824783	0.6828692555427551	0.3906407654285431
03_to_05	pair	0.748024	0.910854	0.821234	0.646743893623352	0.35551682114601135
03_to_06	pair	0.833674	1.147218	0.726692	0.7391118407249451	0.3903558552265167
03_to_07	pair	0.817999	1.125620	0.726709	0.7002155780792236	0.40132564306259155
03_to_08	pair	0.783830	0.940647	0.833288	0.6003301739692688	0.3064224123954773
03_to_09	pair	0.796899	0.819166	0.972817	0.3220226764678955	0.30016466975212097
03_to_10	pair	0.803255	0.862746	0.931044	0.4092329144477844	0.3753827214241028
04_to_01	pair	1.116053	1.413851	0.789371	0.7434433102607727	0.4371229112148285
04_to_02	pair	0.808547	0.925565	0.873572	0.6214812994003296	0.442960649728775
04_to_03	pair	0.378349	0.412765	0.916621	0.5001848936080933	0.383645236492157
04_to_04	identity	0.019601	0.000000	1960088.498890	nan	nan
04_to_05	pair	0.300668	0.357271	0.841570	0.6254097819328308	0.4081195890903473
04_to_06	pair	0.501877	0.589791	0.850940	0.55286705493927	0.4756562113761902
04_to_07	pair	0.433657	0.528380	0.820730	0.5359660387039185	0.5526963472366333
04_to_08	pair	0.616837	0.614944	1.003079	0.1928536295890808	0.411327600479126
04_to_09	pair	0.778867	0.849867	0.916457	0.43309736251831055	0.47340092062950134
04_to_10	pair	1.011523	1.206597	0.838327	0.6227442622184753	0.4626142680644989
05_to_01	pair	1.214345	1.676040	0.724533	0.8158295750617981	0.4609803557395935
05_to_02	pair	1.164804	1.497832	0.777660	0.7518125772476196	0.38146206736564636
05_to_03	pair	0.805671	0.892644	0.902567	0.5475160479545593	0.31214699149131775
05_to_04	pair	0.351484	0.359595	0.977443	0.3462773561477661	0.3413027226924896
05_to_05	identity	0.021080	0.000000	2108023.874462	nan	nan
05_to_06	pair	0.190351	0.201534	0.944508	0.3823290765285492	0.6745107769966125
05_to_07	pair	0.432558	0.391355	1.105284	0.008858805522322655	0.5103087425231934
05_to_08	pair	0.641473	0.699167	0.917482	0.43740323185920715	0.44824182987213135
05_to_09	pair	0.824883	1.032222	0.799133	0.6817344427108765	0.5231776237487793
05_to_10	pair	0.997486	1.376377	0.724719	0.7796837091445923	0.5487815737724304
06_to_01	pair	1.165629	1.707436	0.682678	0.8438597917556763	0.4806138873100281
06_to_02	pair	1.143554	1.601101	0.714230	0.8235840797424316	0.4095311760902405
06_to_03	pair	0.888308	1.097323	0.809522	0.686288595199585	0.31358054280281067
06_to_04	pair	0.541113	0.576708	0.938277	0.4106259346008301	0.31145673990249634
06_to_05	pair	0.211646	0.203381	1.040639	0.07920065522193909	0.3906644880771637
06_to_06	identity	0.028855	0.000000	2885458.804667	nan	nan
06_to_07	pair	0.309327	0.292408	1.057860	0.2052358090877533	0.49904459714889526
06_to_08	pair	0.546895	0.639608	0.855047	0.6101416945457458	0.5181882977485657
06_to_09	pair	0.741564	0.999876	0.741656	0.7444769144058228	0.5648865699768066
06_to_10	pair	0.924292	1.393023	0.663515	0.8267459869384766	0.5736904144287109
07_to_01	pair	1.077631	1.578374	0.682747	0.8354811072349548	0.4414607286453247
07_to_02	pair	1.192611	1.528514	0.780243	0.7519684433937073	0.3363661766052246
07_to_03	pair	0.876282	1.042281	0.840735	0.588416576385498	0.2844545543193817
07_to_04	pair	0.439069	0.504953	0.869525	0.4857439398765564	0.36400434374809265
07_to_05	pair	0.408977	0.403773	1.012888	0.06854245811700821	0.42928755283355713
07_to_06	pair	0.309689	0.314444	0.984877	0.29492855072021484	0.29194653034210205
07_to_07	identity	0.027522	0.000000	2752244.658768	nan	nan
07_to_08	pair	0.340455	0.371718	0.915896	0.41277217864990234	0.3938669264316559
07_to_09	pair	0.517603	0.696751	0.742881	0.7157415151596069	0.5334985256195068
07_to_10	pair	0.796123	1.147050	0.694061	0.801904559135437	0.4882734715938568
08_to_01	pair	0.920572	1.246316	0.738635	0.8041667938232422	0.37326809763908386
08_to_02	pair	1.051772	1.232666	0.853250	0.6666622161865234	0.2458798587322235
08_to_03	pair	0.769950	0.875251	0.879690	0.6049086451530457	0.23645448684692383
08_to_04	pair	0.607823	0.666412	0.912083	0.3047574460506439	0.3289395868778229
08_to_05	pair	0.662077	0.773687	0.855743	0.5179334282875061	0.40298545360565186
08_to_06	pair	0.588680	0.700863	0.839935	0.6160523295402527	0.42009514570236206
08_to_07	pair	0.363263	0.424704	0.855332	0.6542719602584839	0.27531036734580994
08_to_08	identity	0.025760	0.000000	2575989.998877	nan	nan
08_to_09	pair	0.338154	0.424864	0.795910	0.6204837560653687	0.4508265554904938
08_to_10	pair	0.642594	0.834100	0.770403	0.6751392483711243	0.4424408972263336
09_to_01	pair	0.653673	0.799525	0.817577	0.7028120160102844	0.2880806028842926
09_to_02	pair	0.816179	0.875544	0.932196	0.494912326335907	0.1892254650592804
09_to_03	pair	0.788024	0.832557	0.946510	0.40294596552848816	0.24167904257774353
09_to_04	pair	0.759143	0.868613	0.873971	0.4687621593475342	0.4245357811450958
09_to_05	pair	0.882204	1.095822	0.805061	0.6530346870422363	0.4718894958496094
09_to_06	pair	0.835544	1.054016	0.792724	0.6808493137359619	0.4446216821670532
09_to_07	pair	0.550547	0.710101	0.775308	0.7346994280815125	0.4245622158050537
09_to_08	pair	0.313746	0.400824	0.782754	0.7607263326644897	0.3487146198749542
09_to_09	identity	0.026890	0.000000	2689048.089087	nan	nan
09_to_10	pair	0.344416	0.398637	0.863983	0.449445903301239	0.41341203451156616
10_to_01	pair	0.362947	0.370034	0.980846	0.1554824709892273	0.17821860313415527
10_to_02	pair	0.481961	0.484084	0.995614	0.2141125202178955	0.26843011379241943
10_to_03	pair	0.774372	0.852313	0.908553	0.4548467993736267	0.3469637632369995
10_to_04	pair	1.066568	1.269839	0.839924	0.5872898101806641	0.3978525698184967
10_to_05	pair	1.122656	1.430113	0.785012	0.6904293894767761	0.45469430088996887
10_to_06	pair	1.119234	1.456844	0.768260	0.7070082426071167	0.44912078976631165
10_to_07	pair	0.874481	1.142943	0.765113	0.7053976058959961	0.4033264219760895
10_to_08	pair	0.647806	0.861272	0.752150	0.7341619729995728	0.4314093589782715
10_to_09	pair	0.319381	0.422321	0.756251	0.6761658787727356	0.41061529517173767
10_to_10	identity	0.026441	0.000000	2644059.248269	nan	nan
