pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.014261	0.000000	1426066.737622	nan	nan
01_to_02	pair	0.831372	0.800928	1.038011	0.07953331619501114	0.2169848084449768
01_to_03	pair	1.972591	1.698007	1.161710	-0.0839933454990387	0.29833343625068665
01_to_04	pair	2.880718	2.295995	1.254671	-0.14990337193012238	0.396095871925354
01_to_05	pair	3.331087	2.547780	1.307447	-0.17970889806747437	0.4427470266819
01_to_06	pair	3.835165	2.888724	1.327633	-0.21313118934631348	0.4284854531288147
01_to_07	pair	4.130020	3.170722	1.302549	-0.3105592727661133	0.36212098598480225
01_to_08	pair	4.021320	3.165049	1.270539	-0.37547075748443604	0.29695355892181396
01_to_09	pair	2.602757	2.001783	1.300219	-0.45266833901405334	0.31279927492141724
01_to_10	pair	1.023910	0.774033	1.322825	-0.5121246576309204	0.32961177825927734
02_to_01	pair	0.925627	0.807185	1.146734	-0.1058182343840599	0.28167518973350525
02_to_02	identity	0.013752	0.000000	1375226.862729	nan	nan
02_to_03	pair	1.195814	0.952400	1.255579	-0.20011697709560394	0.3573438823223114
02_to_04	pair	2.417699	1.582155	1.528105	-0.3407129645347595	0.5524049401283264
02_to_05	pair	2.908173	1.823710	1.594647	-0.3655116558074951	0.6129302978515625
02_to_06	pair	3.553277	2.207020	1.609989	-0.4203014075756073	0.6018117070198059
02_to_07	pair	3.825555	2.510180	1.524016	-0.5479885935783386	0.49844834208488464
02_to_08	pair	3.419585	2.505506	1.364828	-0.5884899497032166	0.3371042311191559
02_to_09	pair	2.197317	1.537283	1.429351	-0.6107205748558044	0.4095197021961212
02_to_10	pair	0.858301	0.811715	1.057392	0.02435719594359398	0.24925824999809265
03_to_01	pair	2.056548	1.674340	1.228274	-0.15022198855876923	0.3553483486175537
03_to_02	pair	1.205860	0.931908	1.293969	-0.2898614704608917	0.37938928604125977
03_to_03	identity	0.012994	0.000000	1299371.290952	nan	nan
03_to_04	pair	1.173647	0.709672	1.653789	-0.30181869864463806	0.6849681735038757
03_to_05	pair	1.829702	0.952034	1.921888	-0.41895607113838196	0.858395516872406
03_to_06	pair	2.278679	1.327422	1.716620	-0.4967235028743744	0.6669899225234985
03_to_07	pair	2.672393	1.621661	1.647935	-0.5987557768821716	0.5876354575157166
03_to_08	pair	2.221379	1.615267	1.375239	-0.5908473134040833	0.3520507216453552
03_to_09	pair	1.218800	1.060435	1.149339	-0.16132111847400665	0.35304296016693115
03_to_10	pair	1.430527	1.360410	1.051541	0.16217565536499023	0.27023595571517944
04_to_01	pair	3.003385	2.278257	1.318282	-0.19425269961357117	0.440006822347641
04_to_02	pair	2.346575	1.596060	1.470230	-0.33299487829208374	0.5293992161750793
04_to_03	pair	1.153406	0.673136	1.713481	-0.38774389028549194	0.7490226030349731
04_to_04	identity	0.019067	0.000000	1906722.411513	nan	nan
04_to_05	pair	0.676760	0.453905	1.490973	-0.20670446753501892	0.6327401995658875
04_to_06	pair	1.233707	0.770038	1.602138	-0.4870469570159912	0.5657864809036255
04_to_07	pair	1.658450	1.041971	1.591647	-0.5719446539878845	0.5220403075218201
04_to_08	pair	1.464400	1.094422	1.338058	-0.4447775185108185	0.3942618668079376
04_to_09	pair	1.155855	1.124091	1.028258	0.30452442169189453	0.4515551030635834
04_to_10	pair	2.095560	1.843796	1.136546	0.04358821362257004	0.3902324140071869
05_to_01	pair	3.408196	2.509919	1.357891	-0.18560922145843506	0.48304715752601624
05_to_02	pair	2.863644	1.840534	1.555877	-0.3620569407939911	0.6079912185668945
05_to_03	pair	1.659106	0.916713	1.809843	-0.4234890341758728	0.8112717866897583
05_to_04	pair	0.635773	0.441081	1.441399	-0.2391771674156189	0.6326519250869751
05_to_05	identity	0.015288	0.000000	1528768.055141	nan	nan
05_to_06	pair	0.610398	0.440663	1.385182	-0.3818111717700958	0.3765207529067993
05_to_07	pair	1.091718	0.755781	1.444490	-0.5358287692070007	0.41711822152137756
05_to_08	pair	1.106883	0.916966	1.207114	-0.030384982004761696	0.43583571910858154
05_to_09	pair	1.378464	1.223715	1.126458	0.21375826001167297	0.5838580131530762
05_to_10	pair	2.507483	2.036793	1.231094	0.0035805748775601387	0.49340763688087463
06_to_01	pair	3.922520	2.908846	1.348479	-0.20950265228748322	0.4426616430282593
06_to_02	pair	3.375262	2.244025	1.504110	-0.3953247368335724	0.5404168367385864
06_to_03	pair	2.201087	1.330106	1.654820	-0.46551841497421265	0.6443025469779968
06_to_04	pair	1.182874	0.761838	1.552658	-0.43524548411369324	0.5472583174705505
06_to_05	pair	0.579297	0.456814	1.268124	-0.34083354473114014	0.3090642988681793
06_to_06	identity	0.013922	0.000000	1392242.405564	nan	nan
06_to_07	pair	0.503164	0.370566	1.357823	-0.16000844538211823	0.5073067545890808
06_to_08	pair	0.792717	0.572894	1.383707	0.1931670755147934	0.8426030874252319
06_to_09	pair	1.644651	1.312802	1.252779	0.05618757754564285	0.6011901497840881
06_to_10	pair	2.964904	2.312116	1.282333	-0.09255625307559967	0.46658432483673096
07_to_01	pair	4.078174	3.134802	1.300935	-0.279315710067749	0.3722657561302185
07_to_02	pair	3.552465	2.521169	1.409054	-0.491576611995697	0.43611958622932434
07_to_03	pair	2.410720	1.668569	1.444783	-0.5660545229911804	0.4585011601448059
07_to_04	pair	1.487012	1.049558	1.416799	-0.545149564743042	0.4297342002391815
07_to_05	pair	1.052406	0.749281	1.404555	-0.39033234119415283	0.44502729177474976
07_to_06	pair	0.472436	0.344549	1.371170	-0.1655905395746231	0.5485683083534241
07_to_07	identity	0.014748	0.000000	1474753.301591	nan	nan
07_to_08	pair	0.619106	0.425634	1.454548	0.013506601564586163	0.7930708527565002
07_to_09	pair	1.711445	1.360857	1.257622	-0.08167068660259247	0.4839910566806793
07_to_10	pair	3.168810	2.491857	1.271666	-0.18015100061893463	0.4023599326610565
08_to_01	pair	3.999689	3.066814	1.304184	-0.4118002653121948	0.3236529529094696
08_to_02	pair	3.259335	2.459818	1.325031	-0.562437891960144	0.3259868025779724
08_to_03	pair	2.207375	1.646983	1.340253	-0.6201698780059814	0.3642054498195648
08_to_04	pair	1.460691	1.093502	1.335792	-0.3224664628505707	0.4449416399002075
08_to_05	pair	1.167325	0.920024	1.268798	0.002348231850191951	0.5400621891021729
08_to_06	pair	0.822243	0.526744	1.560990	0.12927360832691193	1.0828503370285034
08_to_07	pair	0.574537	0.406296	1.414085	0.005790485069155693	0.7467997074127197
08_to_08	identity	0.016412	0.000000	1641181.111336	nan	nan
08_to_09	pair	1.522820	1.263724	1.205025	-0.24319791793823242	0.29933643341064453
08_to_10	pair	2.907516	2.403281	1.209811	-0.3320064842700958	0.27563726902008057
09_to_01	pair	2.447973	2.026170	1.208178	-0.37094348669052124	0.2469235509634018
09_to_02	pair	2.006506	1.615255	1.242223	-0.48929890990257263	0.3023093640804291
09_to_03	pair	1.220361	1.075065	1.135151	-0.017414996400475502	0.40097323060035706
09_to_04	pair	1.201681	1.144657	1.049818	0.27413684129714966	0.47383278608322144
09_to_05	pair	1.436663	1.238459	1.160041	0.16341519355773926	0.6026490926742554
09_to_06	pair	1.662049	1.316148	1.262813	0.02116100676357746	0.5907642841339111
09_to_07	pair	1.769090	1.381571	1.280492	-0.15114575624465942	0.4779006838798523
09_to_08	pair	1.437297	1.281410	1.121653	-0.1479121744632721	0.23095600306987762
09_to_09	identity	0.014583	0.000000	1458310.429007	nan	nan
09_to_10	pair	1.473311	1.258604	1.170591	-0.2684221565723419	0.22474539279937744
10_to_01	pair	0.945495	0.805349	1.174018	-0.34151211380958557	0.22415922582149506
10_to_02	pair	0.820917	0.810690	1.012616	0.2258004993200302	0.28749173879623413
10_to_03	pair	1.407081	1.372853	1.024932	0.22611068189144135	0.2911505699157715
10_to_04	pair	2.122159	1.870600	1.134480	0.06185229867696762	0.41267770528793335
10_to_05	pair	2.535937	2.061791	1.229968	-0.04788680002093315	0.47673097252845764
10_to_06	pair	2.942485	2.316368	1.270302	-0.1266622245311737	0.44123899936676025
10_to_07	pair	3.193040	2.482998	1.285962	-0.2911507785320282	0.37559768557548523
10_to_08	pair	2.880785	2.420852	1.189988	-0.31570494174957275	0.24271094799041748
10_to_09	pair	1.411791	1.227962	1.149702	-0.3370124101638794	0.1888391375541687
10_to_10	identity	0.016406	0.000000	1640598.662198	nan	nan
