patient	ref	tgt	L1_atlas	L1_zero	L1_atlas_oracle	alpha_oracle	cos	ratio_atlas	ratio_oracle
P1	1	2	0.1726294308900833	0.21054400503635406	0.1733321100473404	1.1523346864146842	0.7055128712401698	0.8199209037572732	0.8232583493289757
P1	1	3	0.41756781935691833	0.5616698861122131	0.4126788377761841	1.2845964784649573	0.785382236105151	0.7434399274051424	0.7347355590535205
P1	1	4	0.5780249238014221	0.7969322204589844	0.5705202221870422	1.293420726653559	0.8020929523340137	0.7253125284211938	0.715895539847112
P1	1	5	0.6860138773918152	0.9658169150352478	0.672192394733429	1.3288257069424083	0.8181357796507933	0.7102939146254017	0.695983249277527
P1	1	6	0.7201129794120789	1.0368024110794067	0.7051900029182434	1.3287357277777745	0.8269549405666435	0.6945517986039162	0.6801585291300352
P1	1	7	0.5072740316390991	0.7829532027244568	0.5081709623336792	1.0588812275754067	0.8373287813489606	0.6478982777948008	0.6490438516189566
P1	1	8	0.37351420521736145	0.5349130034446716	0.35797742009162903	0.8433445636853439	0.7857326231562569	0.6982709390350345	0.6692254960832266
P1	1	9	0.26722756028175354	0.3231978416442871	0.25284358859062195	0.681326648238712	0.6413595068505143	0.8268234680102391	0.7823183078954551
P1	1	10	0.12603525817394257	0.11608152836561203	0.11388184875249863	0.15945279452103123	0.11633890013655619	1.085747749435036	0.9810505629613588
P1	2	1	0.16966813802719116	0.2083354890346527	0.1706022173166275	1.2313187644665347	0.7231782666769595	0.8143986356494934	0.818882169846017
P1	2	3	0.1836194097995758	0.26547014713287354	0.18356800079345703	1.1107366426803689	0.8065309304091043	0.691676302524782	0.6914826498422713
P1	2	4	0.35823753476142883	0.5196976661682129	0.351816326379776	1.2522419047381055	0.8314427571230509	0.6893191139432142	0.6769634525660965
P1	2	5	0.48374316096305847	0.7056230902671814	0.473369300365448	1.293542437084137	0.8366809203341945	0.6855546078854804	0.6708529056017832
P1	2	6	0.5807445645332336	0.829675018787384	0.5725565552711487	1.2931303474469116	0.8185732903153801	0.699966313776717	0.6900973782577807
P1	2	7	0.4457370936870575	0.6379350423812866	0.44485247135162354	0.9834216621540649	0.7788492322768464	0.6987186219198873	0.6973319253494468
P1	2	8	0.4212314486503601	0.49692103266716003	0.40988895297050476	0.6919393562720304	0.5479076585122938	0.8476828730501791	0.8248573234473057
P1	2	9	0.3845735788345337	0.40583664178848267	0.3842754662036896	0.49555109955639204	0.24076080216051612	0.9476068428413839	0.9468722797188172
P1	2	10	0.3116123676300049	0.34813955426216125	0.31305018067359924	1.8787745127150808	0.5348885352040913	0.89507889527356	0.8992088857500562
