patient	pair	img_L1_gt_warp	img_L1_identity	ratio_gt_vs_id
P1	01_to_06	0.020209869369864464	0.03291584551334381	0.6139858365058899
P1	01_to_03	0.02806408330798149	0.03482417017221451	0.8058791756629944
P1	05_to_10	0.015222568064928055	0.027983730658888817	0.5439790487289429
P2	01_to_06	0.024636687710881233	0.03736317530274391	0.65938401222229
P2	01_to_03	0.019371995702385902	0.02246711775660515	0.8622373342514038
P2	05_to_10	0.06343609094619751	0.0689791887998581	0.9196408987045288
P3	01_to_06	0.016783060505986214	0.03680281341075897	0.45602643489837646
P3	01_to_03	0.018967237323522568	0.028963537886738777	0.6548658013343811
P3	05_to_10	0.017843332141637802	0.03470037132501602	0.5142114162445068
P4	01_to_06	0.018242238089442253	0.028305331245064735	0.6444804072380066
P4	01_to_03	0.012215820141136646	0.021780917420983315	0.5608494281768799
P4	05_to_10	0.012036165222525597	0.0238368958234787	0.5049382448196411
P5	01_to_06	0.006490857806056738	0.012874815613031387	0.5041511058807373
P5	01_to_03	0.0051001436077058315	0.008096552453935146	0.6299146413803101
P5	05_to_10	0.007960482500493526	0.012835508212447166	0.620191752910614
P6	01_to_06	0.05688447132706642	0.06649937480688095	0.855413556098938
P6	01_to_03	0.0159483402967453	0.018894148990511894	0.8440884351730347
P6	05_to_10	0.010786944068968296	0.021147698163986206	0.5100762844085693
P7	01_to_06	0.011560194194316864	0.021685536950826645	0.533082902431488
P7	01_to_03	0.007843486964702606	0.013041975907981396	0.6014028191566467
P7	05_to_10	0.009587831795215607	0.019337378442287445	0.4958183467388153
P8	01_to_06	0.046963367611169815	0.053045157343149185	0.8853467702865601
P8	01_to_03	0.015589848160743713	0.021048160269856453	0.7406747937202454
P8	05_to_10	0.030648672953248024	0.03869456797838211	0.7920663356781006
P9	01_to_06	0.03320281207561493	0.03877635300159454	0.8562641739845276
P9	01_to_03	0.015541003085672855	0.01854553073644638	0.8379914164543152
P9	05_to_10	0.01740741916000843	0.02388821914792061	0.7287027835845947
