model	patient	ref	tgt	L1_pred	L1_zero	L1_oracle	alpha_oracle	cos	amp_ratio	ratio_pred	ratio_oracle
E1_Decoder	P3	1	2	0.23256361484527588	0.2865368723869324	0.2123315930366516	2.1916950797260117	0.7373120457652679	0.3274500440084499	0.8116359088725854	0.7410271190156785
E1_Decoder	P3	1	3	0.39090555906295776	0.6038203239440918	0.3550392687320709	1.5289128122755737	0.8589026258761926	0.5536555930824253	0.6473872169615014	0.5879882717643408
E1_Decoder	P3	1	4	0.5116493701934814	0.891513466835022	0.49108681082725525	1.2481026687425387	0.8791767100606982	0.699135168621524	0.5739109830947334	0.550846206026109
E1_Decoder	P3	1	5	0.6193848848342896	1.12416672706604	0.6004338264465332	1.1932691201181547	0.8879876815268904	0.7468182654087776	0.5509724402276348	0.534114568586818
E1_Decoder	P3	1	6	0.6478465795516968	1.236781358718872	0.6320508718490601	1.1542143540202887	0.8936574273185235	0.7850568162390631	0.523816578398928	0.5110449534134102
E1_Decoder	P3	1	7	0.497248113155365	0.9988840222358704	0.49843254685401917	1.0203127219531156	0.8988336844384668	0.8984778044072599	0.49780365096073975	0.498989407937814
E1_Decoder	P3	1	8	0.34373772144317627	0.6555743217468262	0.3439217507839203	1.0026883891713438	0.8927569218120354	0.9330511341598411	0.5243306670817456	0.5246113817690653
E1_Decoder	P3	1	9	0.24124129116535187	0.4012570083141327	0.24271126091480255	1.0750639534260955	0.8405518227557711	0.8138888053062179	0.601213900733893	0.6048773127590854
E1_Decoder	P3	1	10	0.15418285131454468	0.16011638939380646	0.14881694316864014	0.6444762002123758	0.3645131100904324	0.5931856858837686	0.9629423439928548	0.9294297962379396
E1_Decoder	P3	2	1	0.22467678785324097	0.28305310010910034	0.20420338213443756	2.0008907313338944	0.751030621570042	0.3385148128566052	0.7937619752853484	0.7214313570695009
E1_Decoder	P3	2	3	0.2562471926212311	0.3681303858757019	0.23825667798519135	1.506976408844063	0.8162215402998044	0.5486125258375066	0.696077266242706	0.6472073132958874
E1_Decoder	P3	2	4	0.39432576298713684	0.6581997275352478	0.38213974237442017	1.2522405024474859	0.8524367044344835	0.6873267212086281	0.5990974266485396	0.5805832582237827
E1_Decoder	P3	2	5	0.5044929385185242	0.8712269067764282	0.4990304708480835	1.1423039097257852	0.8628171794313576	0.7672134905251686	0.5790603281356022	0.5727904716516559
E1_Decoder	P3	2	6	0.551142156124115	0.9998354911804199	0.5468393564224243	1.0873956128467024	0.8700568996574801	0.8154939596817735	0.5512328387877378	0.5469293311210808
E1_Decoder	P3	2	7	0.3934866487979889	0.7778134346008301	0.38402798771858215	0.914340427412706	0.8961334043880742	0.9999013630945357	0.5058882134119016	0.49372763523384416
E1_Decoder	P3	2	8	0.3231433629989624	0.4664938151836395	0.29594701528549194	0.7590530561357105	0.812707406958962	1.1377562984702208	0.6927066393618833	0.6344071575075217
E1_Decoder	P3	2	9	0.25274914503097534	0.2712593376636505	0.2236136496067047	0.5914058502993718	0.5920650157006923	1.0509728546642443	0.9317620075603554	0.8243537403456159
E1_Decoder	P3	2	10	0.22748877108097076	0.25977933406829834	0.226691335439682	0.955868550283383	0.5138577655471404	0.5454453704836673	0.8757000317090732	0.8726303662788003
E1_Decoder	P3	3	1	0.38626089692115784	0.5950747132301331	0.35165613889694214	1.5115429773927769	0.8603336757544122	0.5430744621593991	0.6490964719782661	0.5909445168458137
E1_Decoder	P3	3	2	0.25824254751205444	0.3709385097026825	0.2432602196931839	1.4446795716356833	0.8063559993724111	0.5241981572641443	0.6961869440814948	0.6557966167712371
E1_Decoder	P3	3	4	0.19167427718639374	0.3060009777545929	0.18404123187065125	1.2780603389043705	0.8298372255335827	0.6455102436509599	0.6263845252812	0.6014400124507082
E1_Decoder	P3	3	5	0.2947447597980499	0.5028389096260071	0.29337191581726074	1.0807574448388855	0.859767535872549	0.7895702247753534	0.5861614011081007	0.5834312146517457
E1_Decoder	P3	3	6	0.35414692759513855	0.6346684098243713	0.3541964888572693	1.0172447794053638	0.8591767717847703	0.8463058941720546	0.5580030802118225	0.5580811702212882
E1_Decoder	P3	3	7	0.35707351565361023	0.5173312425613403	0.33453071117401123	0.8006981722078906	0.7870832061416609	1.0272453613529182	0.6902222140803177	0.6466470293147735
E1_Decoder	P3	3	8	0.31912949681282043	0.3513590693473816	0.2874118387699127	0.6013602342560233	0.602975081002809	1.0344836069550567	0.9082716931302649	0.8180003416554887
E1_Decoder	P3	3	9	0.3616481423377991	0.43480706214904785	0.3593309223651886	0.9222783586697891	0.6152235737442595	0.6764435194913198	0.8317439476496576	0.8264146414485174
E1_Decoder	P3	3	10	0.3874437212944031	0.5574347376823425	0.3835492730140686	1.2112884059565316	0.7818269400484744	0.6238883369721725	0.6950476802096789	0.6880613049139331
E1_Decoder	P3	4	1	0.4915499687194824	0.8646547794342041	0.4741164743900299	1.2027244865650777	0.8821679495542117	0.7089107875057507	0.5684927446317168	0.5483303691448661
E1_Decoder	P3	4	2	0.37186184525489807	0.6412592530250549	0.3699181377887726	1.1152437542911044	0.8547175549416401	0.7375799031089243	0.5798931454020967	0.5768620663853709
E1_Decoder	P3	4	3	0.1836489886045456	0.3022253215312958	0.1804100126028061	1.1575963684721238	0.8277685841597981	0.6563339363428052	0.6076558630959337	0.5969387729946527
E1_Decoder	P3	4	5	0.1722669154405594	0.2480037361383438	0.17140060663223267	1.1345286105031176	0.7742006696346444	0.6631087480431335	0.6946141946202932	0.691121066565789
E1_Decoder	P3	4	6	0.22853514552116394	0.3698572516441345	0.2290160059928894	1.0538858635294668	0.8214660944767005	0.7672374990745112	0.617900945581712	0.6192010700745748
E1_Decoder	P3	4	7	0.3000756502151489	0.34626340866088867	0.2911040186882019	0.7415650075319588	0.5762469747693695	0.8182220840582478	0.8666109173234257	0.8407010715166071
E1_Decoder	P3	4	8	0.388842910528183	0.42287853360176086	0.3723513185977936	0.6613167719993053	0.49881635032175636	0.7472917882474502	0.9195144223006827	0.8805160087611577
E1_Decoder	P3	4	9	0.4482470452785492	0.6163977980613708	0.4483526945114136	0.9259082173385393	0.7357066508864483	0.7487318273966722	0.7272041637532263	0.727375561563531
E1_Decoder	P3	4	10	0.4906294047832489	0.8151987791061401	0.4898684024810791	1.0369638954423857	0.8387752412105614	0.7779480355048972	0.6018524774058429	0.6009189599354117
E1_Decoder	P3	5	1	0.5985541343688965	1.081828236579895	0.5870352387428284	1.1589633464843576	0.8837332982741108	0.7568574402674105	0.5532801919287786	0.5426325722451918
E1_Decoder	P3	5	2	0.4852907657623291	0.8615084886550903	0.4842219054698944	1.0529708367411124	0.8663052466388405	0.8132265479911336	0.5633035218491247	0.5620628372749039
E1_Decoder	P3	5	3	0.2786981761455536	0.4864157736301422	0.2776949405670166	0.9497297962943102	0.866541872841465	0.8674186112364266	0.5729628668610331	0.5709003606000831
E1_Decoder	P3	5	4	0.17207354307174683	0.2531452476978302	0.17104968428611755	1.171809344799109	0.7806688657220916	0.6075680597284615	0.6797423401649019	0.6756977894773399
E1_Decoder	P3	5	6	0.15278959274291992	0.1986202448606491	0.15126454830169678	1.2471371464226773	0.6474184611581288	0.5181013429502852	0.7692548805894196	0.7615766882566436
E1_Decoder	P3	5	7	0.3304215669631958	0.368066668510437	0.33038130402565	1.0310829475798349	0.4290415042932839	0.4258314553181268	0.8977220575294399	0.8976126671907039
